Región;Latitud;Longitud;Edad;CAR;MODULO;PT;PTE;PP;UDD;UDA;TF;TIE;CF;MF;AF;FD;CERA;CEER;CEAD;CEMT;CEAG;IE
LIMA;-12.0431805;-77.0282364;18;AS;1;13.2;12.8;13.0;1;7;1;1;10;6;9;25;69.08;67.92;91.03;69.86;65.69;68.95
LIMA;-12.0431805;-77.0282364;16;PA;1;13.6;13.2;13.4;0;10;1;1;15;9;10;34;64.08;82.77;93.97;82.59;100.17;77.52
CUSCO;-13.5226402;-71.9673386;19;PA;3;14.6;13.4;14.0;0;10;1;1;14;10;10;34;72.42;73.86;83.68;71.27;76.03;71.25
LIMA;-12.0431805;-77.0282364;19;AS;3;14.4;15.4;14.9;0;9;1;1;13;9;9;31;65.75;75.35;96.91;84.01;88.10;75.54
LIMA;-12.0431805;-77.0282364;17;AS;1;14.8;12.6;13.7;2;6;1;1;13;10;10;33;76.58;109.50;86.62;91.08;91.55;87.08
LIMA;-12.0431805;-77.0282364;18;PA;1;14.3;15.0;14.6;0;10;1;1;10;7;7;24;60.75;57.52;80.74;76.93;74.31;63.34
LIMA;-12.0431805;-77.0282364;21;PA;3;14.1;14.9;14.5;1;8;1;1;7;6;5;18;58.25;54.55;76.32;75.52;63.97;58.40
LIMA;-12.0431805;-77.0282364;17;PA;1;14.3;15.3;14.8;0;10;1;1;15;11;9;35;76.58;131.78;91.03;88.25;95.00;90.37
LIMA;-12.0431805;-77.0282364;17;PA;1;15.3;15.8;15.6;0;10;1;1;13;10;12;35;74.92;99.11;79.26;88.25;89.83;81.80
LIMA;-12.0431805;-77.0282364;20;PA;3;15.3;15.5;15.4;0;9;1;1;11;9;12;32;69.92;91.68;85.15;93.92;101.90;81.47
LIMA;-12.0431805;-77.0282364;19;PA;3;15.1;14.9;15.0;1;8;1;1;14;11;13;38;79.08;116.93;101.32;92.50;93.28;93.67
LIMA;-12.0431805;-77.0282364;17;PA;1;13.6;13.2;13.4;2;8;1;1;15;9;16;40;77.42;102.08;91.03;86.84;84.66;84.11
LIMA;-12.0431805;-77.0282364;19;AS;2;13.3;11.4;12.4;2;6;1;1;7;3;6;16;69.08;79.80;80.74;75.52;53.62;69.93
LIMA;-12.0431805;-77.0282364;18;PA;1;15.2;15.2;15.2;0;10;1;1;12;6;9;27;69.92;110.99;99.85;85.42;101.90;86.75
LIMA;-12.0431805;-77.0282364;19;AS;2;13.7;12.9;13.3;1;7;1;1;11;6;9;26;74.92;90.20;83.68;92.50;76.03;79.82
